3299,1739554827.606940
33,1739554827.606982
124,1739554827.606987
559,1739554827.606991
4068,1739554827.607015
4051,1739554827.607019
3755,1739554827.607023
3116,1739554827.607028
2402,1739554827.607032
1638,1739554827.607036
932,1739554827.607040
380,1739554827.607044
46,1739554827.607048
26,1739554827.607052
287,1739554827.607056
793,1739554827.607060
1473,1739554827.607064
2233,1739554827.607068
3024,1739554827.607072
3616,1739554827.607076
3989,1739554827.607080
4089,1739554827.607084
3912,1739554827.607088
3426,1739554827.607092
2835,1739554827.607096
2023,1739554827.607100
1275,1739554827.607104
634,1739554827.607108
189,1739554827.607112
3,1739554827.607116
122,1739554827.607120
841,1739554827.607127
1719,1739554827.607132
2482,1739554827.607136
3185,1739554827.607140
3730,1739554827.607144
4025,1739554827.607147
4075,1739554827.607152
3827,1739554827.607156
3331,1739554827.607160
2658,1739554827.607164
1836,1739554827.607168
1162,1739554827.607172
547,1739554827.607176
98,1739554827.607180
1,1739554827.607184
167,1739554827.607188
596,1739554827.607192
1226,1739554827.607196
1906,1739554827.607199
2664,1739554827.607203
3386,1739554827.607208
3861,1739554827.607212
4083,1739554827.607216
4023,1739554827.607219
3689,1739554827.607224
3126,1739554827.607228
2476,1739554827.607231
1587,1739554827.607236
888,1739554827.607240
387,1739554827.607244
48,1739554827.607248
24,1739554827.607252
250,1739554827.607255
734,1739554827.607259
1462,1739554827.607264
2158,1739554827.607267
2899,1739554827.607271
3566,1739554827.607275
3964,1739554827.607279
4095,1739554827.607283
3917,1739554827.607288
3526,1739554827.607292
2904,1739554827.607296
2163,1739554827.607300
1346,1739554827.607304
738,1739554827.607307
223,1739554827.607312
9,1739554827.607316
79,1739554827.607320
384,1739554827.607323
937,1739554827.607327
1644,1739554827.607331
2408,1739554827.607335
3121,1739554827.607339
3723,1739554827.607343
4022,1739554827.607347
4084,1739554827.607351
3832,1739554827.607355
3390,1739554827.607359
2730,1739554827.607363
1975,1739554827.607367
1231,1739554827.607371
555,1739554827.607375
170,1739554827.607379
1,1739554827.607383
96,1739554827.607387
500,1739554827.607391
1099,1739554827.607395
1767,1739554827.607399
2653,1739554827.607403
3277,1739554827.607407
3791,1739554827.607411
4063,1739554827.607415
4056,1739554827.607419
3733,1739554827.607423
3242,1739554827.607427
2550,1739554827.607431
1788,1739554827.607435
1062,1739554827.607439
473,1739554827.607443
103,1739554827.607447
3,1739554827.607451
187,1739554827.607455
630,1739554827.607459
1270,1739554827.607462
1954,1739554827.607466
3274,1739554827.607474
3882,1739554827.607479
1540,1739554827.607503
699,1739554827.607507
1886,1739554827.607533
2885,1739554827.607538
3678,1739554827.607543
